ID,Title,Content,Date,Slug,Status,"Image Featured",wpcf-in-the-news-published-date,in_the_news_source,in_the_news_og_article_url,in_the_news_date,in_the_news_image,in_the_news_image_url,"Featured on Listing Page?",perspective_business_sector,"Content Series Applied",news_slider_short_title,in_the_news_summury,"Mobile Featured Image","Push notification","Publish on mobile ?",_wpml_import_language_code,_wpml_import_source_language_code,_wpml_import_translation_group
13036,"عبد اللطيف جميل للطاقة عازمة بشدة على المساهمة في تحقيق رؤية المملكة العربية السعودية للطاقة المتجددة","<p>أكدت شركة عبد اللطيف جميل للطاقة والخدمات البيئية، التي احتفلت مؤخرًا بااستحواذها على شركة فوتوواتيو رينيوابل فينتشرز (FRV)، وهي إحدى الشركات العالمية الرائدة في مجال تطوير محطات توليد الطاقة الشمسية على نطاقٍواسع، أكدت للمرة الثانية على استعدادها لدعم جدول أعمال المملكة العربية السعودية الوطني لصناعة الطاقة المتجددة كما هو وارد بخطة رؤية 2030.</p>","2017-08-17 07:48:15",abdul-latif-jameel-energy-set-contribute-saudi-arabia-renewable-energy-vision,publish,https://media.alj.com/app/uploads/2016/10/alj-global-solar-energy-market.jpg,1465171200,"سعودي جازيت",http://saudigazette.com.sa/business/abdul-latif-jameel-energy-set-to-contribute-to-saudi-renewable-energy-vision/,"June 6, 2016",79062,https://media.alj.com/app/uploads/2020/10/saudi-gazette.jpg,,,,,"<p>أكدت شركة عبد اللطيف جميل للطاقة والخدمات البيئية، التي احتفلت مؤخرًا بااستحواذها على شركة فوتوواتيو رينيوابل فينتشرز (FRV)، وهي إحدى الشركات العالمية الرائدة في مجال تطوير محطات توليد الطاقة الشمسية على نطاقٍواسع، أكدت للمرة الثانية على استعدادها لدعم جدول أعمال المملكة العربية السعودية الوطني لصناعة الطاقة المتجددة كما هو وارد بخطة رؤية 2030.</p>
",,no,,ar,en,3637
13038,"عبد اللطيف جميل تستقدم أحدث تقنيات علاج العمود الفقري إلى المملكة العربية السعودية","<p>وقّعت عبد اللطيف جميل اليوم مذكرة تفاهم مع شركة سايبرداين CYBERDYNE, Inc. اليابانية لاستقدام أحدث تقنيات علاج العمود الفقري إلى المملكة العربية السعودية لعلاج المرضى الذين يعانون من إصابات بليغة أو شديدة الإيلام في العمود الفقري.</p>","2017-08-17 07:42:23",abdul-latif-jameel-bring-revolutionary-spinal-treatment-technology-saudi-arabia,publish,https://media.alj.com/app/uploads/2017/05/HAL-Technology.jpg,1489622400,"سعودي جازيت",http://saudigazette.com.sa/article/174912/Abdul-Latif-Jameel-to-bring-revolutionary-spinal-treatment-technology-to-Kingdom,"March 16, 2017",79062,https://media.alj.com/app/uploads/2020/10/saudi-gazette.jpg,,,,,"<p>وقّعت عبد اللطيف جميل اليوم مذكرة تفاهم مع شركة سايبرداين CYBERDYNE, Inc. اليابانية لاستقدام أحدث تقنيات علاج العمود الفقري إلى المملكة العربية السعودية لعلاج المرضى الذين يعانون من إصابات بليغة أو شديدة الإيلام في العمود الفقري.</p>
",,no,,ar,en,3636
13040,"التقنيات الحديثة قد توفر اختبارات أسرع وأقل تكلفة للغذاء","<p>ابتكر الباحثون في معهد ماساتشوستس للتكنولوجيا (MIT) حساسًا جديدًا يستخدم تقنية الهواتف الذكية لاكتشاف البكتيريا الضارة في الأطعمة، بما في ذلك الإشريكية القولونية (E.coli). ابتكر معمل تيموثي سواجر، أستاذ الكيمياء بمعهد ماساتشوستس للتكنولوجيا (MIT)، هذا الحساس بدعم من برنامج الحلول التابع لمعمل عبد اللطيف جميل للأمن المائي والغذائي العالمي (J-WAFS) بمعهد ماساتشوستس للتكنولوجيا (MIT).</p>","2017-08-17 07:38:34",new-technology-offer-cheaper-faster-food-testing,publish,https://media.alj.com/app/uploads/2016/11/j-wafs_2_0-1.jpg,1494374400,"عرب نيوز",http://www.arabnews.com/node/1097061/corporate-news,"May 10, 2017",79160,https://media.alj.com/app/uploads/2020/10/arab-news.jpg,,,,,"<p>ابتكر الباحثون في معهد ماساتشوستس للتكنولوجيا (MIT) حساسًا جديدًا يستخدم تقنية الهواتف الذكية لاكتشاف البكتيريا الضارة في الأطعمة، بما في ذلك الإشريكية القولونية (E.coli). ابتكر معمل تيموثي سواجر، أستاذ الكيمياء بمعهد ماساتشوستس للتكنولوجيا (MIT)، هذا الحساس بدعم من برنامج الحلول التابع لمعمل عبد اللطيف جميل للأمن المائي والغذائي العالمي (J-WAFS) بمعهد ماساتشوستس للتكنولوجيا (MIT).</p>
",,no,,ar,en,3635
13042,"الفن جميل تتوسع على المستوى المحلي والدولي","<p>وقد اختارت المؤسسة غير الربحية الفن جميل أسبوع الفن بدبي لتعلن عن افتتاح معهد كبير للفنون المعاصرة في دبي وشراكة استحواذ جديدة طويلة الأجل مع متحف المتروبوليتان للفنون.</p>","2017-08-17 07:32:40",art-jameel-expand-home-abroad,publish,https://media.alj.com/app/uploads/2017/05/Jameel-Arts-Centre-northside-view-from-the-Creek-Serie-Architects.jpg,1489622400,"هاربرز بازار",http://www.harpersbazaararabia.com/art/news/art-jameel-expand-at-home-and-abroad,"March 16, 2017",78999,https://media.alj.com/app/uploads/2020/10/harpers-bazzar-arabia.jpg,,,,,"<p>وقد اختارت المؤسسة غير الربحية الفن جميل أسبوع الفن بدبي لتعلن عن افتتاح معهد كبير للفنون المعاصرة في دبي وشراكة استحواذ جديدة طويلة الأجل مع متحف المتروبوليتان للفنون.</p>
",,no,,ar,en,3634
13044,"(مجتمع جميل) ومعهد MIT يطلقان معمل عبداللطيف جميل العالمي للتعليم  JWEL للمساعدة في دعم نهضة التعليم بالسعودية والعالم","<p>بتكر الباحثون في معهد ماساتشوستس للتكنولوجيا (MIT) حساسًا جديدًا يستخدم تقنية الهواتف الذكية لاكتشاف البكتيريا الضارة في الأطعمة، بما في ذلك الإشريكية القولونية (E.coli). ابتكر معمل تيموثي سواجر، أستاذ الكيمياء بمعهد ماساتشوستس للتكنولوجيا (MIT)، هذا الحساس بدعم من برنامج الحلول التابع لمعمل عبد اللطيف جميل للأمن المائي والغذائي العالمي (J-WAFS) بمعهد ماساتشوستس للتكنولوجيا (MIT).</p>","2017-08-17 07:28:55",community-jameel-mit-help-transform-education-saudi-arabia-around-world,publish,https://media.alj.com/app/uploads/2017/05/Left-to-Right-MIT-President-L.-Rafael-Reif-Fady-Mohammed-Jameel-President-of-Community-Jameel-International-MIT-Vice-President-for-Open-Learning-Sanjay-Sarma-752x357.jpg,1493769600,"غلف نيوز",http://gulfnews.com/news/uae/education/community-jameel-and-mit-help-transform-education-in-saudi-arabia-and-around-the-world-1.2021200,"May 3, 2017",78992,https://media.alj.com/app/uploads/2020/10/gulf-news.jpg,,,,,"<p>بتكر الباحثون في معهد ماساتشوستس للتكنولوجيا (MIT) حساسًا جديدًا يستخدم تقنية الهواتف الذكية لاكتشاف البكتيريا الضارة في الأطعمة، بما في ذلك الإشريكية القولونية (E.coli). ابتكر معمل تيموثي سواجر، أستاذ الكيمياء بمعهد ماساتشوستس للتكنولوجيا (MIT)، هذا الحساس بدعم من برنامج الحلول التابع لمعمل عبد اللطيف جميل للأمن المائي والغذائي العالمي (J-WAFS) بمعهد ماساتشوستس للتكنولوجيا (MIT).</p>
",,no,,ar,en,3633
13046,"ستبدأ عبد اللطيف جميل للطاقة في إنشاء مشروعات الطاقة الشمسية بالأردن، التي ستزود 80,000 منزل بالطاقة","<p>هذا وقد أُعلن اليوم بأن شركة فوتوواتيو رينيوابل فينتشرز (FRV)، وهي جزء من عبد اللطيف جميل للطاقة، بدأت أعمال الإنشاء في اثنين من أكبر مشروعات الطاقة الشمسية الكهروضوئية في الأردن، اللذان سيزودان 80,000 منزلاً بالطاقة النظيفة.</p>","2017-08-17 07:20:32",abdul-latif-jameel-energy-starts-construction-jordan-solar-projects-will-power-80000-homes,publish,https://media.alj.com/app/uploads/2017/05/a-196.jpg,1496102400,"غلف نيوز",http://gulfnews.com/news/mena/jordan/abdul-latif-jameel-energy-starts-construction-on-jordan-solar-projects-that-will-power-80-000-homes-1.2035411,"May 30, 2017",78992,https://media.alj.com/app/uploads/2020/10/gulf-news.jpg,,,,,"<p>هذا وقد أُعلن اليوم بأن شركة فوتوواتيو رينيوابل فينتشرز (FRV)، وهي جزء من عبد اللطيف جميل للطاقة، بدأت أعمال الإنشاء في اثنين من أكبر مشروعات الطاقة الشمسية الكهروضوئية في الأردن، اللذان سيزودان 80,000 منزلاً بالطاقة النظيفة.</p>
<p>&nbsp;</p>
",,no,,ar,en,3632
13048,"Abdul Latif Jameel Energy contribuirá a la visión de Arabia Saudí en cuanto a energías renovables","<p>Abdul Latif Jameel Energy and Environmental Services, que recientemente celebró el primer aniversario de su adquisición de Fotowatio Renewable Ventures (FRV), uno de los líderes mundiales en el desarrollo de plantas de energía solar a gran escala, ha reafirmado su disposición a apoyar el programa nacional de Arabia Saudí en el sector de las energías renovables, según lo esbozado en la Visión 2030 de este país. </p>","2017-08-17 07:48:15",abdul-latif-jameel-energy-set-contribute-saudi-arabia-renewable-energy-vision,publish,https://media.alj.com/app/uploads/2016/10/alj-energy-environmental-services-hero-image-3.jpg,1465171200,"Saudi Gazette",http://saudigazette.com.sa/business/abdul-latif-jameel-energy-set-to-contribute-to-saudi-renewable-energy-vision/,"June 6, 2016",79066,https://media.alj.com/app/uploads/2020/10/saudi-gazette.jpg,,,,,"<p>Abdul Latif Jameel Energy and Environmental Services, que recientemente celebró el primer aniversario de su adquisición de Fotowatio Renewable Ventures (FRV), uno de los líderes mundiales en el desarrollo de plantas de energía solar a gran escala, ha reafirmado su disposición a apoyar el programa nacional de Arabia Saudí en el sector de las energías renovables, según lo esbozado en la Visión 2030 de este país. </p>
",,no,,es,en,3637
13050,"Abdul Latif Jameel Energy inicia las obras de sus proyectos de energía solar en Jordania, que abastecerán a 80 000 hogares","<p>Fotowatio Renewable Ventures (FRV), perteneciente a Abdul Latif Jameel Energy, ha anunciado hoy el inicio de las obras en dos de los mayores proyectos solares fotovoltaicos de Jordania, que abastecerán de energía limpia a 80,000 hogares.</p>","2017-08-17 07:20:32",abdul-latif-jameel-energy-starts-construction-jordan-solar-projects-will-power-80000-homes,publish,https://media.alj.com/app/uploads/2017/05/His-Excellency-Dr.-Ibrahim-Saif-Minister-of-Energy-and-Mineral-Resources-and-Roberto-de-Diego-Arozamena-Chief-Executive-Officer-of-Abdul-Latif-Jameel-Energy-375x208.png,1496102400,"Gulf News",http://gulfnews.com/news/mena/jordan/abdul-latif-jameel-energy-starts-construction-on-jordan-solar-projects-that-will-power-80-000-homes-1.2035411,"May 30, 2017",78996,https://media.alj.com/app/uploads/2020/10/gulf-news.jpg,,,,,"<p>Fotowatio Renewable Ventures (FRV), perteneciente a Abdul Latif Jameel Energy, ha anunciado hoy el inicio de las obras en dos de los mayores proyectos solares fotovoltaicos de Jordania, que abastecerán de energía limpia a 80,000 hogares.</p>
",,no,,es,en,3632
13052,"Community Jameel y el ITM transforman la enseñanza en Arabia Saudí y el resto del mundo","<p>Community Jameel y el Instituto Tecnológico de Massachusetts (ITM) crean un nuevo laboratorio de enseñanza mundial en apoyo a la enseñanza y el aprendizaje en Arabia Saudí, Orie del mundo.nte Medio y el resto</p>","2017-08-17 07:28:55",community-jameel-mit-help-transform-education-saudi-arabia-around-world,publish,https://media.alj.com/app/uploads/2017/05/Left-to-Right-MIT-President-L.-Rafael-Reif-Fady-Mohammed-Jameel-President-of-Community-Jameel-International-MIT-Vice-President-for-Open-Learning-Sanjay-Sarma-752x357.jpg,1493769600,"Gulf News",http://gulfnews.com/news/uae/education/community-jameel-and-mit-help-transform-education-in-saudi-arabia-and-around-the-world-1.2021200,"May 3, 2017",78996,https://media.alj.com/app/uploads/2020/10/gulf-news.jpg,,,,,"<p>Community Jameel y el Instituto Tecnológico de Massachusetts (ITM) crean un nuevo laboratorio de enseñanza mundial en apoyo a la enseñanza y el aprendizaje en Arabia Saudí, Orie del mundo.nte Medio y el resto</p>
<p>&nbsp;</p>
",,no,,es,en,3633
13054,"Mohammed Abdul Latif Jameel es nombrado caballero honorario","<p><a href=""https://alj.com/en/our-people/mohammed-abdul-latif-jameel/"">Mohammed Abdul Latif Jameel</a> ha recibido el título de caballero honorario de manos de la Reina de Inglaterra por sus actividades filantrópicas y su apoyo al desarrollo del arte y la cultura en el Reino Unido.</p>","2017-08-17 08:00:19",mohammed-abdul-latif-jameel-receives-honorary-knighthood,publish,https://media.alj.com/app/uploads/2016/11/mohammed_abdul_latif_jameel_honorary_knighthood_riyadh_10.2.15.jpg,1423958400,"Al Arabiya",http://www.thenational.ae/blogs/the-art-blog/mohammed-abdul-latif-jameel-receives-honorary-knighthood,"February 15, 2015",79150,https://media.alj.com/app/uploads/2020/10/al-arabiya-english.jpg,,,,,"<p><a href=""https://www.alj.com/en/our-people/mohammed-abdul-latif-jameel/"">Mohammed Abdul Latif Jameel</a> ha recibido el título de caballero honorario de manos de la Reina de Inglaterra por sus actividades filantrópicas y su apoyo al desarrollo del arte y la cultura en el Reino Unido.</p>
",,no,,es,en,3639
13057,"Community Jameel et le MIT contribuent à la transformation de l’éducation en Arabie Saoudite et à travers le monde","<p>Community Jameel et le Massachusetts Institute of Technology (MIT) sont en train de créer un nouveau laboratoire mondial d’éducation afin de soutenir l’éducation et la formation en Arabie Saoudite, au Moyen-Orient et à travers le monde.</p>","2017-08-17 07:28:55",community-jameel-mit-help-transform-education-saudi-arabia-around-world,publish,https://media.alj.com/app/uploads/2017/05/Left-to-Right-MIT-President-L.-Rafael-Reif-Fady-Mohammed-Jameel-President-of-Community-Jameel-International-MIT-Vice-President-for-Open-Learning-Sanjay-Sarma-752x357.jpg,1493769600,"Gulf News",http://gulfnews.com/news/uae/education/community-jameel-and-mit-help-transform-education-in-saudi-arabia-and-around-the-world-1.2021200,"May 3, 2017",78994,https://media.alj.com/app/uploads/2020/10/gulf-news.jpg,,,,,"<p>Community Jameel et le Massachusetts Institute of Technology (MIT) sont en train de créer un nouveau laboratoire mondial d’éducation afin de soutenir l’éducation et la formation en Arabie Saoudite, au Moyen-Orient et à travers le monde.</p>
",,no,,fr,en,3633
13059,"Art Jameel se développe localement et à l’étranger","<p>L’organisation à but non lucratif, Art Jameel, a choisi la Semaine de l’Art (Art Week) de Dubaï pour annoncer l’ouverture d’un grand institut des arts contemporains à Dubaï, de même qu’un nouveau partenariat d’acquisitions à long terme avec le Metropolitan Museum of Art.</p>","2017-08-17 07:32:40",art-jameel-expand-home-abroad,publish,https://media.alj.com/app/uploads/2017/05/Jameel-Arts-Centre-northside-view-from-the-Creek-Serie-Architects.jpg,1489622400,"Harper Bazaar",http://www.harpersbazaararabia.com/art/news/art-jameel-expand-at-home-and-abroad,"March 16, 2017",79001,https://media.alj.com/app/uploads/2020/10/harpers-bazzar-arabia.jpg,,,,,"<p>L’organisation à but non lucratif, Art Jameel, a choisi la Semaine de l’Art (Art Week) de Dubaï pour annoncer l’ouverture d’un grand institut des arts contemporains à Dubaï, de même qu’un nouveau partenariat d’acquisitions à long terme avec le Metropolitan Museum of Art.</p>
",,no,,fr,en,3634
13061,"Mohammed Abdul Latif Jameel est adoubé chevalier","<p><a href=""https://alj.com/en/our-people/mohammed-abdul-latif-jameel/"">Mohammed Abdul Latif Jameel</a> a reçu un titre honorifique de chevalier, accordé par la Reine d’Angleterre, pour ses activités de philanthropie et son soutien au développement des arts et de la culture au Royaume-Uni.</p>","2017-08-17 08:00:19",mohammed-abdul-latif-jameel-receives-honorary-knighthood,publish,https://media.alj.com/app/uploads/2016/11/mohammed_abdul_latif_jameel_honorary_knighthood_riyadh_10.2.15.jpg,1423958400,"Al Arabiya",http://english.alarabiya.net/en/variety/2015/02/15/Saudi-philanthropist-Mohammed-Jameel-receives-honorary-knighthood.html,"February 15, 2015",79148,https://media.alj.com/app/uploads/2020/10/al-arabiya-english.jpg,,,,,"<p><a href=""https://www.alj.com/en/our-people/mohammed-abdul-latif-jameel/"">Mohammed Abdul Latif Jameel</a> a reçu un titre honorifique de chevalier, accordé par la Reine d’Angleterre, pour ses activités de philanthropie et son soutien au développement des arts et de la culture au Royaume-Uni.</p>
",,no,,fr,en,3639
